Date,Open,High,Low,Close,Volume,Market Cap
2019-01-02,0.002371493,0.002427404,0.002355564,0.00241937,11601511.426867492,279675038.2682584
2019-01-03,0.002415257,0.002439333,0.00239062,0.002421133,11062834.936805042,284301919.4490926
2019-01-04,0.002418843,0.002422642,0.002344997,0.002360055,9949357.171879278,280986408.7044959
2019-01-05,0.002362914,0.002381376,0.002264985,0.002327325,10362792.30923113,273719054.4158553
2019-01-06,0.002331079,0.002365227,0.002276582,0.002323244,11720799.08175142,273475612.6041532
2019-01-07,0.002324723,0.00238865,0.002290509,0.002325722,11363086.183000816,273414763.4895882
2019-01-08,0.002319364,0.002333394,0.002281775,0.002284507,11465500.7016864,270983932.755958
2019-01-09,0.002285411,0.002299544,0.002256342,0.00225826,10478908.534919249,267679371.1456817
2019-01-10,0.00225939,0.002300296,0.002255532,0.002273078,9796192.580540178,267608681.2994355
2019-01-11,0.002273072,0.002304338,0.002105338,0.002156804,9077474.69284899,258097650.0003394
2019-01-12,0.002158072,0.002172336,0.002091227,0.002132952,9285589.207167031,251638310.7447482
2019-01-13,0.002140672,0.00217905,0.002125699,0.002155357,9165419.40803725,252579516.8799329
2019-01-14,0.002174158,0.002178233,0.002056361,0.002114235,10343768.303908234,252273323.29833797
2019-01-15,0.002109489,0.002214535,0.002099657,0.002179343,10972024.398549164,253620737.9380447
2019-01-16,0.002178458,0.002193912,0.002094329,0.002102088,10011779.781124132,252333011.87888363
2019-01-17,0.002102077,0.002153601,0.002078525,0.002153601,9139634.45458782,248739401.3824738
2019-01-18,0.002140297,0.002190331,0.002088155,0.002111993,9093707.776700215,251265461.5216915
2019-01-19,0.002109747,0.002139896,0.002063,0.002112742,7053565.039606518,248138405.8710804
2019-01-20,0.002110106,0.002183971,0.002065389,0.002171402,10760372.555111628,250755866.48908192
2019-01-21,0.002162932,0.002177574,0.002054297,0.002097237,11014145.332488228,249757896.63437617
2019-01-22,0.002095701,0.002116081,0.002000786,0.002087983,10171804.603775356,245162378.36833185
2019-01-23,0.002085785,0.002111103,0.002024949,0.002085124,10092117.975254737,245170345.71432132
2019-01-24,0.002083688,0.002096793,0.002018675,0.002063947,10584865.58203049,244094311.21017164
2019-01-25,0.002063767,0.002073633,0.001996455,0.002062601,10099217.711840974,242694769.58028004
2019-01-26,0.002060937,0.002075441,0.002018953,0.002063269,8583245.737074811,242039037.60224316
2019-01-27,0.002067019,0.002105424,0.002026783,0.002064449,8611803.911322854,244351732.2121235
2019-01-28,0.002068808,0.00207297,0.002017602,0.002037208,9098727.249664413,241987786.248926
2019-01-29,0.002038288,0.002039178,0.00185847,0.001952162,9114201.630140658,232265987.963444
2019-01-30,0.001947277,0.001947277,0.001872571,0.001921676,9910738.58421291,226292865.32964224
2019-01-31,0.001918355,0.001974709,0.00190049,0.001972401,9631507.910260404,228986828.47128484
2019-02-01,0.001965311,0.001988064,0.00190589,0.001935372,9067883.63426482,229076925.00166348
2019-02-02,0.001934293,0.001937879,0.001892176,0.001925995,9438219.702508068,226351781.8340152
2019-02-03,0.001923048,0.00195399,0.00189001,0.001941297,8602672.55116306,226775961.21715063
2019-02-04,0.001938791,0.001951566,0.001888518,0.001923193,8440062.5563517,227659003.09540504
2019-02-05,0.001912128,0.001947691,0.001880571,0.001913066,8729910.435147658,225406916.20476544
2019-02-06,0.001910754,0.001912928,0.001863779,0.00190165,8217156.71587008,223126789.45679048
2019-02-07,0.001900106,0.001900106,0.001813399,0.001823278,8715828.136785185,218317179.119261
2019-02-08,0.001820936,0.001863671,0.001815387,0.00185418,8942227.219363546,217439996.56734532
2019-02-09,0.001853142,0.001977085,0.001820124,0.001939233,8841549.79480286,222284790.34891805
2019-02-10,0.001940667,0.001952557,0.001898558,0.001935854,9539509.501672894,227781231.1692132
2019-02-11,0.001912212,0.001945895,0.00188764,0.001924083,9892587.345741564,226342078.36501187
